file,sample,batch_kind,n,lockin_mean,shift_khz_mean,shift_nt_mean
twopoint_lockin_live_20260806_142358.csv,0,stale,106,-0.09652319397922138,2284.863710439598,81532.39046672845
twopoint_lockin_live_20260806_142358.csv,0,real,105,-0.0012208023544490428,-14.287879683581693,-509.84440777839325
twopoint_lockin_live_20260806_142358.csv,1,stale,106,-0.0009189932966133487,-21.568964275546545,-769.6604437463084
twopoint_lockin_live_20260806_142358.csv,1,real,105,-0.001022036155678134,-19.08307541976195,-680.9547323637579
twopoint_lockin_live_20260806_142358.csv,2,stale,106,0.00025084285593441133,-49.791033044853755,-1776.7282702274392
twopoint_lockin_live_20260806_142358.csv,2,real,105,0.00020548095954743821,-48.69668615144376,-1737.6779243307078
twopoint_lockin_live_20260806_142358.csv,3,stale,106,0.00045351847884034246,-54.680542874974776,-1951.2040706171415
twopoint_lockin_live_20260806_142358.csv,3,real,105,0.0004997245013372486,-55.795254145971015,-1990.9810928479524
twopoint_lockin_live_20260806_142358.csv,4,stale,106,0.00046443110635281784,-54.94380788301908,-1960.5983401020226
twopoint_lockin_live_20260806_142358.csv,4,real,105,0.0005571240457714874,-57.18000694816648,-2040.3941959808192
twopoint_lockin_live_20260806_142358.csv,5,stale,106,0.0015272580308995046,-80.58429992038837,-2875.5459577643583
twopoint_lockin_live_20260806_142358.csv,5,real,105,0.0014514432986578486,-78.75528430791074,-2810.2799139277313
twopoint_lockin_live_20260806_142358.csv,6,stale,106,0.0015217833108790437,-80.45222336883594,-2870.832977763201
twopoint_lockin_live_20260806_142358.csv,6,real,105,0.0015303431396453376,-80.65872756651326,-2878.2018115370133
twopoint_lockin_live_20260806_142358.csv,7,stale,106,0.0003225399383149471,-51.520711158404374,-1838.4495845847978
twopoint_lockin_live_20260806_142358.csv,7,real,105,0.00014785030006432366,-47.306357743819504,-1688.0658629681525
twopoint_lockin_live_20260806_142358.csv,8,stale,106,-0.0019013484696492626,2.1301624687626433,76.01207781767924
twopoint_lockin_live_20260806_142358.csv,8,real,105,-0.0018888658018020648,1.8290205441941496,65.26621981851804
twopoint_lockin_live_20260806_142358.csv,9,stale,106,5.451031485139514e-05,-45.054548825221346,-1607.7129897666766
twopoint_lockin_live_20260806_142358.csv,9,real,105,1.504578759446171e-05,-44.10247481061021,-1573.7394665504642
twopoint_lockin_live_20260806_142358.csv,10,stale,106,-0.0007413070635729555,-25.855609954348477,-922.6238208088951
twopoint_lockin_live_20260806_142358.csv,10,real,105,-0.0008631287267393676,-22.916686116180045,-817.752145167715
twopoint_lockin_live_20260806_142358.csv,11,stale,106,-0.00040183946129440185,-34.04519957815345,-1214.858677496198
twopoint_lockin_live_20260806_142358.csv,11,real,105,-0.00026175582470701624,-37.42468995944633,-1335.4513973539229
twopoint_lockin_live_20260806_142358.csv,12,stale,106,-0.00039725118260217746,-34.15589090574004,-1218.8085535876405
twopoint_lockin_live_20260806_142358.csv,12,real,105,-0.0005028501619512114,-31.608336147181294,-1127.9023746496323
twopoint_lockin_live_20260806_142358.csv,13,stale,106,-0.0005402782022940997,-30.70539198174713,-1095.6819862170687
twopoint_lockin_live_20260806_142358.csv,13,real,105,-0.0005096846583548902,-31.44345525588069,-1122.0188144405042
twopoint_lockin_live_20260806_142358.csv,14,stale,106,-0.0008179424704042095,-24.006795727633623,-856.6512891676285
twopoint_lockin_live_20260806_142358.csv,14,real,105,-0.000687939231609562,-27.143098480377812,-968.5661747208754
twopoint_lockin_live_20260806_142358.csv,15,stale,106,0.0023107844902510964,-99.4867227684376,-3550.0543380116187
twopoint_lockin_live_20260806_142358.csv,15,real,105,0.0023458200554312067,-100.33194893770174,-3580.2151348023745
twopoint_lockin_live_20260806_142443.csv,0,stale,33,-0.09878838549952719,2375.600062027593,84770.19918739627
twopoint_lockin_live_20260806_142443.csv,0,real,33,0.002497807976570573,-67.90957941946208,-2423.2650378055264
twopoint_lockin_live_20260806_142443.csv,1,stale,33,0.0022930896906873154,-62.97079074384347,-2247.0307858922165
twopoint_lockin_live_20260806_142443.csv,1,real,33,0.0022930896906873154,-62.97079074384347,-2247.0307858922165
twopoint_lockin_live_20260806_142443.csv,2,stale,33,-0.0002462206393517771,-1.7104248328575744,-61.03428607113811
twopoint_lockin_live_20260806_142443.csv,2,real,33,-0.0002462206393517771,-1.7104248328575744,-61.03428607113811
twopoint_lockin_live_20260806_142443.csv,3,stale,33,0.0024405823631529575,-66.52902266908272,-2374.0016653255325
twopoint_lockin_live_20260806_142443.csv,3,real,33,0.0024405823631529575,-66.52902266908272,-2374.0016653255325
twopoint_lockin_live_20260806_142443.csv,4,stale,33,0.0013332620556510907,-39.8151364552671,-1420.7513722262026
