time_s,peak_01,peak_02,peak_03,peak_04,peak_05,peak_06,peak_07,peak_08,peak_09,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16
0.1842541871592402,1.0010791046662282,1.001148380750801,1.0007970288592787,1.0007031947881753,1.0006878797034993,1.000710931591544,1.0007966393691392,1.000792871410798,1.0005367954984843,1.000663775845393,1.0008771266400343,1.0009236369146646,1.001241317512055,1.0013868471538423,1.0012565743874666,1.0011400675557944
0.4554103121627122,1.001220518867577,1.0011898563115889,1.000847122603412,1.0007145180022123,1.0006881508278898,1.0007392469182321,1.0008234792312358,1.0008524177441929,1.000571305844409,1.00068662447342,1.0009185886948144,1.0009510598497227,1.0013762261421193,1.0015035236146477,1.0013707461869399,1.001298852842152
0.6962185620795935,1.0008939445165286,1.000848686663728,1.00067451751517,1.000757195252927,1.000854760826033,1.0008732530665176,1.0006123462647751,1.000719839943035,1.0007967566381903,1.0008925569316722,1.0013532130216438,1.0013976834969023,1.0013472459328796,1.0012547282887612,1.00110640872044,1.0011291246659988
0.9583104159682988,1.000832157539846,1.0007766342940714,1.0006607735341044,1.0007665584680783,1.0008781636388902,1.0008997302931115,1.00056359884321,1.0006813726115762,1.0008261071939633,1.0009170354836165,1.0014116594107498,1.0014903901380081,1.001336447275571,1.0011929544977511,1.0010507828223538,1.001101458776325
1.2102673954796046,1.0008567346990005,1.0008820467177308,1.0006993791828054,1.0007506544110232,1.0008935053297423,1.0009587314828554,1.0011696301793835,1.0012771303622883,1.001180290802033,1.0011135763196652,1.001166856312998,1.0011570622873947,1.0008048047324838,1.000788160098196,1.000698738558178,1.0007985774931418
1.4537190203554928,1.0008770501300412,1.0009225165380684,1.0007023075540566,1.0007658323705781,1.0009125467268796,1.0009914516330958,1.0013211713910706,1.00140917704264,1.001294742398523,1.001179947223235,1.0011257786853882,1.0010877472554738,1.0006907190110104,1.0007050631405383,1.0006192542421635,1.0007322837529566
1.6949466664809734,0.9997452032039701,0.999694151812836,0.9998782621121972,0.9997842403414171,0.9996518483024326,0.9996431116887953,0.9991789646986486,0.9991381191645743,0.9992779115199473,0.9993696465639433,0.9995353494678881,0.9995658596192585,0.9997010796454726,0.9997931100697771,0.9998138723282683,0.9997714282355045
1.961383186979219,0.9995346811198083,0.9994486971567461,0.9996963483346127,0.9995630426249834,0.9993779127691674,0.999330383944367,0.9987924774160695,0.9987107455841385,0.9988421534079055,0.9990024913155682,0.9991604729098936,0.9992276263101498,0.9994145142505377,0.9995721108948092,0.9996078135870535,0.9995316339638181
2.2070325205568224,1.0010417937257141,1.0010989137352715,1.0010709736911083,1.0009164610436432,1.0006639475701438,1.0006911898020903,1.0002763779129664,1.0002366614366665,1.0002360815471658,1.0003239486236601,1.0005080234212977,1.0005372893292392,1.000337408339952,1.0004021664474998,1.0005654403899347,1.000583469282635
2.470472499495372,1.0013981830495915,1.0014687211642679,1.0013652357095961,1.0012078495192438,1.0009558734784245,1.0010001047613193,1.000594039170813,1.0005870888650696,1.0005358898439527,1.0006019242115483,1.0008244645784683,1.0008126125901282,1.0005528613739987,1.0005625431620695,1.0007893672864006,1.0008338583370038
2.728167374385521,1.001117052340807,1.0009219242081357,1.0008227880398202,1.000755718312673,1.0007068208881627,1.0008411388660285,1.0007429138812312,1.0005468887284044,1.0005662725813629,1.0006850026542,1.0007884904056197,1.0011684406144727,1.0011429519824688,1.001050617581181,1.001000750274431,1.0009890807899098
2.9749577913898975,1.0010650154751612,1.0007909105479966,1.0007101651506924,1.0006560411542895,1.0006631427614925,1.0007855732803606,1.0007959894395912,1.0005213674427913,1.0005560957482857,1.0007222934876698,1.0007835675581747,1.0012626753488034,1.001279501267854,1.001183097601726,1.001049402493637,1.0010467956272142
3.218040187144652,1.0010721273661258,1.0010476444053595,1.0007920592059942,1.000668075129729,1.000635195215693,1.00071704200802,1.0007706598951238,1.0007410412286377,1.0005251697729383,1.0006122678852891,1.0008100294521696,1.0009300660807852,1.001182778791882,1.0012826871987668,1.0012345269100669,1.0011312182947951
3.4742592913098633,1.001097510265014,1.0011051639404307,1.000787324567169,1.0006638216227026,1.0006223216526342,1.0007094776637981,1.000808493334451,1.0008421845734086,1.0005815573057295,1.0006141632157641,1.0008180921071748,1.0009208733313188,1.001239444922382,1.0013642736863826,1.0012803436267055,1.0011592797747768
3.719258208060637,1.0008142268956646,1.000952305149012,1.0008581957956573,1.0006415491866245,1.000644709575316,1.000796428151331,1.000788752315031,1.0012736017767723,1.001247517642336,1.001213585667413,1.0011102580015199,1.0010189275303771,1.001031886063883,1.0007552577652712,1.0007440716156346,1.0007341119313964
3.994071187218651,1.0007852507484978,1.0009136480734853,1.0008882255873628,1.0006308007286138,1.0006590848751575,1.0008523653229018,1.000816121998591,1.001342151853429,1.0013983885217093,1.001356982455723,1.0011811568539066,1.0010554079634522,1.0009790216137464,1.000646465315747,1.0006412665790627,1.0006294603462835
4.245104603469372,1.0007031415722445,1.0007656901370021,1.0008005457917468,1.0007612878385725,1.0008161445369654,1.0006499784802003,1.0006604536017725,1.0008809665205498,1.0009543007709378,1.001291984940846,1.0013648499021035,1.0012343119339864,1.0010622774854374,1.00089972760333,1.0009347932245565,1.0006583711642199
4.484029500046745,1.0007125119176887,1.000715269791292,1.0007706531099607,1.000812334860616,1.000848406617276,1.0006051831484937,1.0006101818635282,1.00077694906008,1.0008627361986226,1.0012907715290797,1.001404207375152,1.001290690538676,1.0010846455635636,1.0009497984860143,1.0009766821957908,1.0006572236202256
4.726824666606262,1.0012753001781647,1.0011440680004695,1.00099846729303,1.0010099626312983,1.0007408752253475,1.0006394386076078,1.0005645930847877,1.000669354047333,1.0008183526164613,1.0008844312118452,1.000684316480051,1.0007730551997498,1.000802338102659,1.000799704029936,1.0012071331497234,1.0012708047151355
5.000859062187374,1.0014042473115168,1.0012345807443583,1.001053814501187,1.0010637804050222,1.0007187530701658,1.0006297278750944,1.0005706466095143,1.00065646714315,1.0008095352628028,1.0008212502670253,1.0005746503421875,1.0006716737573869,1.0007790668641663,1.0008094043944227,1.0012872728522846,1.001401463812296
5.245502687059343,0.9998148241182989,1.0000632964840015,0.9998999996115344,0.9997773267701304,0.9996351494799913,0.9992123825864159,0.9991516652784918,0.9992649744629587,0.9993911739257293,0.9995115728505324,0.9994790341396057,0.9997811688322505,0.9998044415030618,0.9998664024554254,0.9998893450492298,0.9998162828241017
5.51427008304745,0.99949370795865,0.9998058879029783,0.9996223758830456,0.9994859951139978,0.999397171064302,0.9989056639979731,0.9988018500327642,0.9989245274355016,0.999063441121461,0.9992096767890347,0.9992131464221377,0.9995629044929969,0.9996031501558225,0.9996471624372065,0.9995592309574034,0.999450853137865
5.755758333019912,1.0007150583229512,1.000568658892547,1.0005579002535996,1.0006930690887068,1.0006925737707981,1.001015230750271,1.0010248288691772,1.0009440434044692,1.0008614115179442,1.0007747865857244,1.000722501414032,1.000559959823724,1.0004908941247903,1.0004787392501864,1.0004475253769005,1.0006105547684503
6.018919249530882,1.0009734942245168,1.0007258996021806,1.0007684811686297,1.000949840165223,1.0009554872530715,1.0014279450979853,1.0014680937694982,1.0013775750452025,1.0012008534333685,1.001073085031141,1.0010323381569408,1.0007670306922962,1.0006318480644962,1.000618335985924,1.000647726983691,1.0008612328810358
6.259784853551537,0.9999397435659247,0.9997927232248942,0.9997031669182562,0.9996751994905027,0.9999189463647506,0.9998991596887448,0.9997258225648572,0.9997143322767897,0.9992251211938983,0.9991718380907422,0.9993117691155835,0.9993866291390104,0.9994151661340689,0.9994099645144322,0.9997227566455694,0.9998343443876256
6.526673479005694,0.9997450561906626,0.9996151551805728,0.9994900603002911,0.9994147986591843,0.9997099627465879,0.9996321289845918,0.9993952375685485,0.9993690999407226,0.9988526212177441,0.9987547044510393,0.9989207752190636,0.999089344360127,0.9991502823178908,0.9991678845543376,0.9995433453131732,0.9996192046207635
6.769120936980471,0.9995158843334698,0.9995180162209911,0.9990589824546884,0.9989552805528419,0.9991187270529778,0.9991919449163263,0.9992395677929026,0.9992030055004828,0.999394714850463,0.9994219408707086,0.9995359417884626,0.9994986800114247,0.9993311277278407,0.9993933017307827,0.999620041025645,0.9996279467890937
7.042391020571813,0.9994811692638909,0.999476282556313,0.9989885170011191,0.9988507734936778,0.9989898917716279,0.9990738081720202,0.9991982632701425,0.9991773777601246,0.9995104251160138,0.9995844963439732,0.9996688806479171,0.9995801670633084,0.9993753104667253,0.9994083548096996,0.9996412862296462,0.9996176396705527
