time_s,signal_f1,signal_f2,lockin_signal
1.00000761449337e-06,157.40006724332915,167.8776324235107,-10.477565180181557
1.609384163748473e-05,156.6754898065226,165.87905370296787,-9.203563896445274
3.118767566047609e-05,157.9376318122077,162.1442063758902,-4.206574563682494
4.628150968346745e-05,158.66540330714918,165.41810068160282,-6.752697374453646
6.137534370645882e-05,155.79652779900357,161.84077085307334,-6.044243054069767
7.646917772945016e-05,158.59012134364397,164.62360546504874,-6.0334841214047685
9.156301175244153e-05,154.29402145673504,163.1953877189229,-8.90136626218785
0.00010665684577543289,154.38012348320444,163.17814897453923,-8.798025491334784
0.00012175067979842425,157.81058776782712,169.13680960968304,-11.326221841855926
0.0001368445138214156,157.07298957728398,162.39543662316228,-5.322447045878306
0.00015193834784440696,158.15012073234098,162.30996118226,-4.159840449919017
0.00016703218186739832,153.84828987987896,163.31517254026957,-9.46688266039061
0.00018212601589038968,158.8835620625363,165.72178072561664,-6.83821866308034
0.00019721984991338104,156.18545404529755,165.6823822477611,-9.49692820246355
0.0002123136839363724,159.67330439832503,165.58652993856404,-5.9132255402390115
0.00022740751795936377,159.5158633126509,167.50903200171166,-7.993168689060752
0.00024250135198235513,160.0150839013357,164.63867408380963,-4.623590182473947
0.0002575951860053465,160.6544304184369,166.907968334505,-6.2535379160680975
0.0002726890200283378,160.3293700522664,170.24661490967998,-9.917244857413579
0.0002877828540513292,161.39578812238287,164.40958828743467,-3.013800165051805
0.00030287668807432055,161.95184460677936,167.26021640125927,-5.3083717944799105
0.00031797052209731194,158.48777394015343,166.97307210318795,-8.485298163034514
0.00033306435612030327,160.8418559158847,170.79959959654002,-9.957743680655312
0.00034815819014329466,159.1280068465935,167.2496102943424,-8.121603447748896
0.000363252024166286,155.95432038389828,164.65374270257053,-8.699422318672248
0.0003783458581892774,156.69674786808082,165.0076565699789,-8.310908701898086
0.0003934396922122687,156.7036097441697,167.84599749365773,-11.142387749488023
0.0004085335262352601,155.37627227435277,163.37792279243206,-8.001650518079288
0.00042362736025825144,157.32961457346335,165.42459577589634,-8.09498120243299
0.00043872119428124283,158.28401137023565,164.5631475991075,-6.279136228871863
0.00045381502830423416,155.14254057523613,164.32938533484122,-9.186844759605094
0.00046890886232722555,155.0685117828652,161.05547574655378,-5.986963963688595
0.0004840026963502169,158.8291560962191,164.72252957178225,-5.893373475563152
0.0004990965303732082,158.0864688082648,163.349481920714,-5.263013112449187
0.0005141903643961996,157.84570712473638,163.1110126234068,-5.265305498670415
0.000529284198419191,156.2598801846135,161.3043677598802,-5.044487575266686
0.0005443780324421823,158.1875630406211,164.9191704618394,-6.731607421218314
0.0005594718664651737,156.62125194852828,163.4469389002659,-6.825686951737623
0.0005745657004881651,155.5093376532078,165.14614726289085,-9.636809609683041
0.0005896595345111564,157.84067915762446,165.97835987407157,-8.137680716447107
0.0006047533685341477,159.5970443500321,162.3990127456674,-2.801968395635299
0.0006198472025571391,155.8917382400587,162.70467952440626,-6.812941284347573
0.0006349410365801305,153.26707827734816,167.13593850291898,-13.868860225570813
0.0006500348706031219,157.94420331937525,166.7904453342299,-8.846242014854653
0.0006651287046261132,159.66604517529115,166.23105724852522,-6.565012073234072
0.0006802225386491046,156.67113427270226,168.86667481737322,-12.195540544670962
0.000695316372672096,156.16754286762233,167.45199743252743,-11.284454564905104
0.0007104102066950873,158.2680716447107,163.12244398936332,-4.8543723446526315
0.0007255040407180786,154.3519271326833,161.73700217012563,-7.385075037442334
0.00074059787474107,159.21438395940947,163.86241097900174,-4.648027019592263
0.0007556917087640614,160.08189931839718,168.8865880123483,-8.804688693951135
0.0007707855427870527,160.70877525445488,170.16201057554176,-9.45323532108688
0.0007858793768100441,161.87252804352477,165.94839074487268,-4.075862701347916
0.0008009732108330355,154.7235382217196,165.96938900265917,-11.245850780939577
0.0008160670448560268,161.26949292416788,168.66723721612618,-7.397744291958304
0.0008311608788790181,158.14466485313446,163.99789100467646,-5.853226151542003
0.0008462547129020095,157.43382645108048,165.95150839013357,-8.517681939053091
0.0008613485469250009,161.3209952012715,166.84728122994161,-5.526286028670114
0.0008764423809479923,155.70738454014733,162.8015863312651,-7.094201791117769
0.0008915362149709836,156.83126509154263,165.88690894641928,-9.05564385487665
0.000906630048993975,161.10775743497265,164.6805330562093,-3.5727756212366444
0.0009217238830169663,159.91724485741358,167.74799034141273,-7.830745483999152
0.0009368177170399577,157.0983586514656,169.4129810190421,-12.314622367576504
0.000951911551062949,159.75216248433537,163.2600635755112,-3.5079010911758246
0.0009670053850859404,154.54531283430632,162.7168291713788,-8.17151633707249
0.0009820992191089317,158.12041140691383,163.47695387718923,-5.3565424702754
0.000997193053131923,158.39095882874346,167.82701653574594,-9.436057707002476
0.0010122868871549145,162.1823822477611,167.7300791637375,-5.547696915976417
0.0010273807211779059,157.1585261484855,162.87129015496532,-5.71276400647983
0.0010424745552008972,156.8815294800868,163.79652779900357,-6.9149983189167585
0.0010575683892238886,157.46559892410673,162.68951921019652,-5.223920286089793
0.00107266222324688,155.13444081058776,163.5233059265825,-8.388865115994747
0.0010877560572698712,158.3148516061986,163.4662866399731,-5.151435033774504
0.0011028498912928626,157.08078369043616,167.47591466210227,-10.395130971666106
0.001117943725315854,159.34125989546718,166.6086438243115,-7.267383928844339
