frequency_Hz,peak_shift_ASD_kHz_per_rtHz,B_ASD_uT_per_rtHz,z_minus_ASD,z_plus_ASD,lockin_ASD
0.18148609114216488,48.59024343905874,1.7338796545481994,0.02372910101971197,0.023252773176561003,0.0030815169911570825
0.36297218228432976,31.662013229613414,1.1298177715391597,0.007864504720939917,0.00786158694172678,0.0020079551950313084
0.5444582734264947,33.71018669300919,1.2029041783117753,0.003948076999164257,0.0042637744698476995,0.002137847142088683
0.7259443645686595,45.1316525096108,1.610464334485113,0.0031728958503859372,0.003090715783882647,0.002862178581627966
0.9074304557108244,35.97685482550933,1.2837872832396993,0.0016917214766382833,0.002297141821438687,0.002281595678199097
1.0889165468529893,43.67790664713208,1.5585893037086813,0.003598973787702194,0.0033115272499675275,0.002769984300245716
1.270402637995154,46.41036106362685,1.6560933865125196,0.002878850534230457,0.003008996341554632,0.00294327227157583
1.451888729137319,39.2424462044394,1.4003156653025766,0.003020735583021941,0.0029445317483961972,0.0024886943590890164
1.633374820279484,35.284574715246855,1.2590841676865134,0.002842851824081275,0.0033258422071716608,0.0022376923599313173
1.8148609114216487,36.42549039873487,1.2997962603031286,0.002838220137028869,0.003136493958154426,0.0023100474422546955
1.9963470025638137,35.34457048411574,1.2612250386852606,0.002101549207152178,0.002202980267293288,0.002241497197447699
2.1778330937059787,47.29611677947081,1.6877004274718386,0.0019210541128523353,0.002339532014227558,0.0029994455091479147
2.3593191848481436,37.18654698673746,1.3269535750334522,0.0022257346863779805,0.0017507233570851295,0.0023583124568167897
2.540805275990308,37.4721246902089,1.3371440440411397,0.0020249559142300646,0.0021122093663489593,0.0023764233466427786
2.722291367132473,36.22237196172994,1.2925482429963582,0.00228283355631892,0.002372903808026762,0.0022971659897130306
2.903777458274638,26.444638220821396,0.9436425285762702,0.0024096050002888505,0.001787390610683913,0.001677077459071926
3.085263549416803,34.47885812475342,1.2303332188393314,0.0020263716792868025,0.0014565892418629766,0.0021865950780916707
