batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.004990749410353601,1786993292.092159,0.009408666985109448,1240.1525906032987,2793.864320955178,1240.1525906032987,False,1252.4445122612847,2800.8643182848896,1252.4445122612847,False,0.855716636667085,0.8641981750995694,0.008481538432484448,-0.04368309427636773,-43.68309427636773,2797.427712339571,-1.5587744175124083
1,0,0.0146559375571087,1786993292.101989,0.00978162488900125,1244.2288872612849,2793.864320955178,1244.2288872612849,False,1256.7884168836804,2800.8643182848896,1256.7884168836804,False,0.8585293186649771,0.8671955090418957,0.008666190376918625,-0.0481356608455573,-48.135660845557304,2797.4232597730015,-1.7176584657992187
2,0,0.0243310829391703,1786993292.111524,0.009499415988102555,1237.6420328776044,2793.864320955178,1237.6420328776044,False,1245.7392089843747,2800.8643182848896,1245.7392089843747,False,0.8539843288612007,0.8595714544754898,0.00558712561428909,0.026110732109925185,26.110732109925184,2797.497506165957,0.9317275231917351
3,0,0.033800999517552555,1786993292.1209211,0.009362917160615325,1239.847596571181,2793.864320955178,1239.847596571181,False,1252.3079671223961,2800.8643182848896,1252.3079671223961,False,0.8555061879937967,0.8641039577041552,0.008597769710358416,-0.046485813217355086,-46.48581321735509,2797.42490962063,-1.6587857985068186
4,0,0.04314145795069635,1786993292.130208,0.009256916120648384,1234.8632839626737,2793.864320955178,1234.8632839626737,False,1240.7006537543402,2800.8643182848896,1240.7006537543402,False,0.8520669666804145,0.8560948052568569,0.0040278385764424,0.06371027842264591,63.710278422645914,2797.53510571227,2.2734184421440875
5,0,0.052499228972010314,1786993292.139641,0.009401541901752353,1236.116821289062,2793.864320955178,1236.116821289062,False,1249.3539388020831,2800.8643182848896,1249.3539388020831,False,0.8529319189072625,0.8620656511296005,0.009133732222338042,-0.059409634683150817,-59.40963468315082,2797.411985799164,-2.1199555624875397
6,0,0.06208864552900195,1786993292.149384,0.009709875099360943,1234.7079372829862,2793.864320955178,1234.7079372829862,False,1244.887074110243,2800.8643182848896,1244.887074110243,False,0.8519597760497882,0.8589834736140991,0.007023697564310871,-0.008529749248139052,-8.529749248139053,2797.462865684599,-0.304373010567337
7,0,0.07162335352040827,1786993292.158707,0.009295625146478415,1234.3723008897568,2793.864320955178,1234.3723008897568,False,1249.5974310980903,2800.8643182848896,1249.5974310980903,False,0.8517281838669121,0.8622336630421445,0.01050547917523248,-0.09248697184611067,-92.48697184611066,2797.378908462001,-3.3002773282226188
8,0,0.08093706250656396,1786993292.168017,0.009280625032261014,1242.4744330512153,2793.864320955178,1242.4744330512153,False,1247.329074435764,2800.8643182848896,1247.329074435764,False,0.8573187292042909,0.8606684761864666,0.0033497469821757164,0.08006130019353526,80.06130019353526,2797.5514567340406,2.8568833925754804
9,0,0.09012979152612388,1786993292.177088,0.00903883296996355,1240.4529622395833,2793.864320955178,1240.4529622395833,False,1245.775005425347,2800.8643182848896,1245.775005425347,False,0.8559238958449468,0.8595961543473487,0.003672258502401937,0.07228448518333826,72.28448518333826,2797.5436799190306,2.579377861238162
