packet,rep_index,reps_averaged,time_s,timestamp_epoch_s,peak_01,peak_01_freq_mhz,peak_02,peak_02_freq_mhz,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
1,0,4,0.00048,1787084769.538964,1601.1246880425347,2794.153063004681,1602.0996704101562,2800.153060715863,0.923238346149826,0.9238005391603583,0.0005621930105322859,0.11341144173948474,113.41144173948474,2797.292416270237,4.046939827986181
1,4,4,0.00144,1787084769.538964,1598.3385281032988,2794.153063004681,1599.7029486762153,2800.153060715863,0.9216317943842957,0.9224185447246033,0.0007867503403076181,0.10687276046285873,106.87276046285874,2797.2858775889604,3.8136154889686957
1,8,4,0.0024000000000000002,1787084769.538964,1597.0096503363716,2794.153063004681,1608.5370279947917,2800.153060715863,0.920865538688574,0.9275124395603702,0.006646900871796202,-0.06376364938753808,-63.763649387538074,2797.11524117911,-2.275322915627251
1,12,4,0.00336,1787084769.538964,1598.7876654730903,2794.153063004681,1599.594950358073,2800.153060715863,0.921890775365338,0.9223562708808649,0.0004654955155268814,0.11622708841964904,116.22708841964905,2797.295231916917,4.147412518543001
1,16,4,0.00432,1787084769.538964,1593.7722235785589,2794.153063004681,1603.1543714735242,2800.153060715863,0.9189987780621307,0.9244086994571162,0.0054099213949855285,-0.027745165587945476,-27.745165587945475,2797.1512596629095,-0.9900501565781286
1,20,4,0.00528,1787084769.538964,1591.8404744466145,2794.153063004681,1606.180881076389,2800.153060715863,0.917884895497536,0.9261538413197224,0.008268945822186402,-0.11099450556833343,-110.99450556833342,2797.0680103229292,-3.960694603494627
1,24,4,0.00624,1787084769.538964,1592.7483656141494,2794.153063004681,1597.4959174262153,2800.153060715863,0.9184084024712644,0.921145929358437,0.0027375268871725478,0.05006986698960352,50.06986698960352,2797.2290746954873,1.7866780969741478
1,28,4,0.0072,1787084769.538964,1592.4284261067708,2794.153063004681,1602.570332845052,2800.153060715863,0.9182239193864264,0.9240719318952485,0.005848012508822054,-0.040501543508742195,-40.501543508742195,2797.138503284989,-1.4452449153847486
1,32,4,0.00816,1787084769.538964,1597.146247016059,2794.153063004681,1608.2513834635417,2800.153060715863,0.920944302880761,0.9273477315981562,0.006403428717395188,-0.056674204482958575,-56.67420448295857,2797.1223306240145,-2.0223452927119103
1,36,4,0.00912,1787084769.538964,1598.004672580295,2794.153063004681,1611.1548258463542,2800.153060715863,0.921439287065401,0.9290219106072416,0.007582623541840583,-0.09101010938443545,-91.01010938443545,2797.087994719113,-3.247577411662698
1,40,4,0.01008,1787084769.538964,1600.7801106770835,2794.153063004681,1607.7121785481772,2800.153060715863,0.9230396564166806,0.9270368159911365,0.0039971595744559,0.013391764894222653,13.391764894222653,2797.1923965933915,0.47786771675073697
1,44,4,0.01104,1787084769.538964,1595.3521931966147,2794.153063004681,1607.0169338650173,2800.153060715863,0.9199098180005156,0.926635924944834,0.006726106944318411,-0.06606997919611839,-66.06997919611838,2797.1129348493014,-2.357621295893462
1,48,4,0.012,1787084769.538964,1598.727288140191,2794.153063004681,1609.6717461480034,2800.153060715863,0.9218559606695262,0.9281667392029533,0.006310778533427097,-0.053976407783139356,-53.97640778313936,2797.1250284207144,-1.9260779254617242
1,52,4,0.012960000000000001,1787084769.538964,1599.1075710720486,2794.153063004681,1610.1532321506077,2800.153060715863,0.9220752388979486,0.9284443730087765,0.006369134110827845,-0.055675610929697646,-55.67561092969765,2797.123329217568,-1.9867117802489882
1,56,4,0.01392,1787084769.538964,1603.337632921007,2794.153063004681,1605.0463256835938,2800.153060715863,0.9245143714244218,0.9254996355278299,0.0009852641034080456,0.10109241819019281,101.0924181901928,2797.2800972466875,3.60735149122869
1,60,4,0.01488,1787084769.538964,1597.4516940646702,2794.153063004681,1607.778544108073,2800.153060715863,0.9211204293436792,0.9270750836102776,0.005954654266598358,-0.04360674815993772,-43.606748159937716,2797.1353980803374,-1.5560501056215286
1,64,4,0.01584,1787084769.538964,1600.691399468316,2794.153063004681,1609.1209174262153,2800.153060715863,0.9229885038797925,0.9278491210924381,0.004860617212645635,-0.011750475163759776,-11.750475163759777,2797.1672543533336,-0.41930042691121094
1,68,4,0.0168,1787084769.538964,1604.9198133680554,2794.153063004681,1613.6768120659724,2800.153060715863,0.9254266861680222,0.9304761348808424,0.005049448712820204,-0.017248888401323517,-17.248888401323516,2797.161755940096,-0.6155041536298714
1,72,4,0.01776,1787084769.538964,1607.6631808810764,2794.153063004681,1610.4836764865452,2800.153060715863,0.9270085630227842,0.9286349133736113,0.0016263503508270327,0.08242520903298171,82.42520903298171,2797.2614300375303,2.941236405687329
1,76,4,0.01872,1787084769.538964,1609.639933268229,2794.153063004681,1617.7621866861982,2800.153060715863,0.9281483953033629,0.9328318380537107,0.0046834427503478215,-0.006591492642538812,-6.591492642538812,2797.172413335855,-0.23520884393872438
1,80,4,0.01968,1787084769.538964,1615.311787923177,2794.153063004681,1608.7980143229165,2800.153060715863,0.931418892442245,0.9276629291429399,-0.003755963299305054,0.239147919996181,239.147919996181,2797.4181527484934,8.533682557671318
1,84,4,0.020640000000000002,1787084769.538964,1594.3774278428818,2794.153063004681,1606.3627387152778,2800.153060715863,0.9193477501242375,0.9262587038248206,0.0069109537005830335,-0.07145236428878843,-71.45236428878843,2797.1075524642088,-2.549684709134614
1,88,4,0.0216,1787084769.538964,1587.8641628689236,2794.153063004681,1610.8863118489583,2800.153060715863,0.9155920801083411,0.9288670804302258,0.013275000321884667,-0.25676126748920003,-256.7612674892,2796.922243561008,-9.162191960077077
1,92,4,0.02256,1787084769.538964,1593.0193820529514,2794.153063004681,1605.3638983832466,2800.153060715863,0.9185646756026499,0.9256827538672069,0.007118078264557015,-0.0774834366645643,-77.4834366645643,2797.101521391833,-2.764895684576231
1,96,4,0.02352,1787084769.538964,1589.1254001193574,2794.153063004681,1605.2033420138887,2800.153060715863,0.9163193330211774,0.9255901740712567,0.009270841050079248,-0.14016778427768656,-140.16778427768656,2797.0388370442197,-5.0017051198146785
1,100,4,0.024480000000000002,1787084769.538964,1588.8922729492188,2794.153063004681,1599.5218641493057,2800.153060715863,0.9161849075485027,0.9223141280102861,0.006129220461783436,-0.04868978291605323,-48.689782916053225,2797.1303150455815,-1.7374315913521705
1,104,4,0.02544,1787084769.538964,1586.8388129340276,2794.153063004681,1607.7235039605034,2800.153060715863,0.9150008442194764,0.9270433464350323,0.012042502215555917,-0.22087327265335266,-220.87327265335267,2796.958131555844,-7.881575530022576
