batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
24,0.25801045791013166,1785872545.346224,0.00997033400926739,-5310.111668245866,2806.913354404411,-5310.111668245866,False,-5308.765679921753,2813.913351734123,-5308.765679921753,False,-1.014463506197204,-1.0142063635757512,0.00025714262145282163,-0.0590159350140958,-59.0159350140958,2810.4519254338425,-2.1059069017305094
25,0.2687848329078406,1785872545.357606,0.011279084021225572,-5293.192652138032,2806.913354404411,-5293.192652138032,False,-5301.852379496898,2813.913351734123,-5301.852379496898,False,-1.0112312343591563,-1.0128856209197479,-0.0016543865605915808,0.1416177612639099,141.6177612639099,2810.6525591301206,5.05344566314266
26,0.27946658292785287,1785872545.36766,0.010005665943026543,-5300.720338050554,2806.913354404411,-5300.720338050554,False,-5293.46410428829,2813.913351734123,-5293.46410428829,False,-1.0126693515064913,-1.0112830935887394,0.0013862579177519319,-0.17752763629936757,-177.52763629936757,2810.3334137325573,-6.334842859669125
27,0.2896515414468013,1785872545.37796,0.01024783297907561,-5312.055364183758,2806.913354404411,-5312.055364183758,False,-5317.634219213252,2813.913351734123,-5317.634219213252,False,-1.0148348371068583,-1.0159006423454995,-0.0010658052386411931,0.07984039093006894,79.84039093006893,2810.5907817597868,2.8490005327600962
28,0.2995734579744749,1785872545.387507,0.009505750029347837,-5303.066442522237,2806.913354404411,-5303.066442522237,False,-5308.728017544397,2813.913351734123,-5308.728017544397,False,-1.0131175600408768,-1.0141991684149387,-0.0010816083740619042,0.08149908466177964,81.49908466177965,2810.592440453518,2.908188861753484
29,0.30921335343737155,1785872545.397253,0.009696875000372529,-5294.298965369685,2806.913354404411,-5294.298965369685,False,-5302.332143839594,2813.913351734123,-5302.332143839594,False,-1.011442588558475,-1.01297727688626,-0.0015346883277849166,0.1290542602137918,129.0542602137918,2810.63999562907,4.605133464665708
30,0.32215197844197974,1785872545.4144242,0.01599162502679974,-5288.454601583275,2806.913354404411,-5288.454601583275,False,-5292.00422257542,2813.913351734123,-5292.00422257542,False,-1.0103260595382457,-1.0110041923501971,-0.000678132811951393,0.039150375500300795,39.1503755003008,2810.550091744357,1.3970302419462173
31,0.34358712448738515,1785872545.439195,0.02457783301360905,-5288.8291453984175,2806.913354404411,-5288.8291453984175,False,-5294.492072928446,2813.913351734123,-5294.492072928446,False,-1.0103976137833677,-1.0114794805455691,-0.0010818667622014555,0.08152620502593601,81.52620502593601,2810.5924675738825,2.9091566166834144
32,0.36546779092168435,1785872545.45814,0.0187297499505803,-5293.717579545802,2806.913354404411,-5293.717579545802,False,-5296.559919919308,2813.913351734123,-5296.559919919308,False,-1.0113315184457923,-1.0118745297346803,-0.0005430112888880068,0.024968049186073885,24.968049186073884,2810.5359094180426,0.8909523689007238
33,0.38320222892798483,1785872545.474593,0.01633720798417926,-5296.180548338784,2806.913354404411,-5296.180548338784,False,-5296.517137879389,2813.913351734123,-5296.517137879389,False,-1.011802053175283,-1.0118663564944679,-6.430331918494403e-05,-0.025277037470957355,-25.277037470957357,2810.4856643313856,-0.9019782140649927
34,0.39709304098505527,1785872545.48594,0.011285000015050173,-5290.367681939053,2806.913354404411,-5290.367681939053,False,-5289.305248036189,2813.913351734123,-5289.305248036189,False,-1.0106915415330908,-1.010488570204136,0.0002029713289548596,-0.05333012767821247,-53.33012767821247,2810.4576112411783,-1.9030162602844871
