time_s,z_minus,z_plus,lockin_signal,peak_shift_kHz,B_shift_uT
0.0059352999960538,0.8713554391505797,0.8565828516438819,-0.0147725875066977,77.22476995816733,2.7556654995063994
0.0168938499919022,0.8551009000791796,0.8553473283652979,0.0002464282861183,-55.3347132748475,-1.9745472907096597
0.0280623500002548,0.8717329418210645,0.857494686296988,-0.0142382555240765,72.50869718294464,2.58737857489811
0.0395037499984027,0.8626794481134729,0.8616834072229649,-0.0009960408905079,-44.36854383614759,-1.5832337937534822
0.050949849995959,0.8656721836078808,0.8478648341462576,-0.0178073494616232,104.00991234230123,3.71145847638814
0.0621476499945856,0.8532200126602055,0.8435008237287016,-0.0097191889315039,32.6229190154069,1.1641064450259384
0.0730793499969877,0.8660171187711326,0.8557926657515026,-0.01022445301963,37.08243536069473,1.323238487035924
0.0840969999917433,0.8739105164090185,0.8700554118988117,-0.0038551045102067,-19.134134259265288,-0.6827767006589097
0.0951467999984743,0.8653408002783334,0.8656447244242563,0.0003039241459229,-55.8421780494292,-1.9926555113270483
0.1064798499937751,0.8754220691425378,0.869300828733347,-0.0061212404091908,0.86703012121277,0.030938842464058307
0.1177912999919499,0.8689604819512394,0.8597008377226658,-0.0092596442285736,28.566926986152332,1.0193736435252758
0.1288912999953027,0.854105721315492,0.8538397729672161,-0.0002659483482758,-50.81242081488136,-1.8131751646760406
0.1401958999995258,0.8718657915645273,0.8506545965458514,-0.0212111950186758,134.0526271428088,4.7834936890811015
0.1516450499984785,0.8779992306238312,0.8720805189141863,-0.0059187117096449,-0.9205104288473318,-0.03284721770080402
0.1631547999932081,0.8614145280878952,0.8489070365952534,-0.0125074914926418,57.23278371629709,2.042277466325189
0.1746290999944904,0.863478028632469,0.8448148272116558,-0.0186632014208132,111.56375574983392,3.9810075560174822
0.1858189499907894,0.8801293304652794,0.8587897252118705,-0.0213396052534089,135.18598998048492,4.8239362682159905
0.1966253499922459,0.8741037750232686,0.8595273458099464,-0.0145764292133222,75.49345531275874,2.693885787637694
0.2078173499976401,0.8620752127551577,0.8611508661532743,-0.0009243466018834,-45.00132550319739,-1.6058137847272835
0.2194567999977152,0.8611858733905295,0.8612507484337633,6.487504323371418e-05,-53.73230440944285,-1.9173674139824026
0.2309026499933679,0.8640540026737004,0.8626730332677757,-0.0013809694059246,-40.97112247450961,-1.4620012301780478
0.2422276499928557,0.8712192919942268,0.8596970959145073,-0.0115221960797194,48.536458166701365,1.73196039704187
0.2537857499992242,0.8675570550304343,0.8560458977291777,-0.0115111573012566,48.43902869537333,1.7284837530464363
0.2653506999922683,0.8598029953069278,0.8525198656931233,-0.0072831296138045,11.121991875183356,0.3968738179839907
0.2767762499934179,0.8655773940971659,0.8610415938007678,-0.0045358002963981,-13.126238475603117,-0.46839275177002276
0.288217799992708,0.8645809065894136,0.860447199575668,-0.0041337070137456,-16.675157958421543,-0.5950313288046511
0.2996461499933502,0.8560915637869415,0.8469325284251202,-0.0091590353618212,27.678942076267063,0.9876870566752449
0.3106086499901721,0.8726099914345498,0.8534583151788442,-0.0191516762557055,115.87508830177336,4.134851852047293
0.321588349994272,0.8632084540188045,0.856592952748329,-0.0066155012704754,5.229430777688615,0.18660543739967939
0.3326715499933925,0.854865432802352,0.855455874131541,0.0005904413291889,-58.37101018297598,-2.0828935977367964
0.3435480999905849,0.8739652636840886,0.85693168193166,-0.0170335817524285,97.18055354221907,3.46776168791818
0.3549279999933787,0.8772379726414377,0.8667285022725718,-0.0105094703688658,39.598029794333584,1.4130042033376244
0.3661207499972079,0.8672617988142185,0.8624177904015118,-0.0048440084127067,-10.405959784263564,-0.37132314388608206
0.3771683000013581,0.8639598308724086,0.8567800698199722,-0.0071797610524363,10.209649597465091,0.36431807013506606
0.3886086499915109,0.8630539577818259,0.852694793002559,-0.0103591647792669,38.27141614939689,1.3656657204323757
0.3999427999879117,0.8642927473656311,0.8577197236168702,-0.0065730237487608,4.854519504860734,0.17322721613119949
0.4113812499927007,0.8709392407621136,0.8559059909888553,-0.0150332497732582,79.52540375669734,2.8377606250605676
0.4229206499949214,0.8610226425645539,0.8599069904656238,-0.00111565209893,-43.31284217126945,-1.5455624525859781
0.4340125499875285,0.8704450176744267,0.8714966479690383,0.0010516302946115,-62.44151465361031,-2.228144256837365
0.4448357499932172,0.8644880102025415,0.8525148795782139,-0.0119731306243275,52.51645599277436,1.8739814442183256
0.4561317999905441,0.8568731595187861,0.8455918590040954,-0.0112813005146906,46.410287447271145,1.6560907596085908
0.4679106999901705,0.8647185757995604,0.8615255113621841,-0.0031930644373762,-24.97737266746662,-0.8912850652107701
0.4798170499925618,0.8665394031980321,0.8595893922772977,-0.0069500109207344,8.18184969690912,0.2919586674603597
0.4913899999955902,0.86243236656631,0.8526130420490144,-0.0098193245172955,33.50672669554242,1.1956439728640602
0.5029046999916318,0.8689781511071045,0.8627732110711178,-0.0062049400359867,1.605772221754796,0.05729989372519255
0.5145636499946704,0.8612832115081076,0.8572814765571702,-0.0040017349509373,-17.839957881957343,-0.6365956994703591
0.525530949998938,0.8670525575241461,0.8577590903717066,-0.0092934671524395,28.86545182765603,1.0300261143182996
0.5359745499954442,0.8595798666647227,0.8637689408849379,0.0041890742202151,-90.13293939061052,-3.2162767410294935
0.5468339499930153,0.8524231408410156,0.8451355206130255,-0.00728762022799,11.161626529280596,0.39828812907795447
0.5579276999924332,0.8619513175763499,0.8563757745587655,-0.0055755430175844,-3.949355002208245,-0.1409275978521355
0.5691408499988029,0.8657010404146235,0.8647122676087277,-0.0009887728058958,-44.43269274933682,-1.5855228643069093
0.5806798999910825,0.8729538422733473,0.8644547449947375,-0.0084990972786097,21.854256059347797,0.7798407100823507
0.5918505499939783,0.8667029251029087,0.8547857860604028,-0.0119171390425059,52.02226814091585,1.8563469933241454
0.6029695499964873,0.857288789081309,0.8511175742022286,-0.0061712148790804,1.308110282176621,0.04667821446533761
0.6143264999918756,0.85961973114226,0.8600416533417813,0.0004219221995213,-56.88364183262739,-2.0298187922005204
0.6256836999891675,0.8698018044071347,0.8626660540400881,-0.0071357503670466,9.821206453621825,0.35045698164508365
0.63709349999408,0.8651673016996849,0.858807794323477,-0.0063595073762079,2.970000545839052,0.10598060754492764
0.6485070499984431,0.8676098091927268,0.8604381894616046,-0.0071716197311222,10.137793401219016,0.361753975207644
0.6599372499986202,0.8629783639247226,0.8586472032053944,-0.0043311607193281,-14.93240986257184,-0.5328436291240308
0.6713729999901261,0.8596150249963692,0.8477873182796192,-0.01182770671675,51.232928609613474,1.8281804385388765
0.6825686999945901,0.8700227888421704,0.8638650835792443,-0.0061577052629261,1.1888729259612272,0.04242338445479686
0.6937681499912287,0.8811812451728626,0.8669872536394787,-0.0141939915333838,72.11801833867179,2.5734377083454105
0.7049989999941317,0.8655706681747811,0.85600744865057,-0.0095632195242111,31.24631589333141,1.1149841526310094
0.7163724999918486,0.8597459682841314,0.8655242710868009,0.0057783028026694,-104.15964543682422,-3.716801507166151
0.7279244999954244,0.8675656518568985,0.8534809437859028,-0.0140847080709957,71.1534704947967,2.539019072751809
0.739338149993273,0.8641735472228324,0.8403879993009582,-0.0237855479218741,156.77414866025788,5.594281639318366
0.7507152999896789,0.8746279747937744,0.8745593979379566,-6.857685581784789e-05,-52.55444328866281,-1.8753369714766916
0.7621384999947622,0.8661999518723904,0.8577588703960489,-0.0084410814763414,21.34220221546611,0.7615687344942232
0.7734804499923484,0.8617013163522749,0.8604902237035621,-0.0012110926487127,-42.47047339469996,-1.5155036181380233
0.7847653999997419,0.8559193450666659,0.8553122478028233,-0.0006070972638425,-47.80140301072837,-1.705730909603496
0.7961514499984332,0.8672322509728334,0.8532378329104618,-0.0139944180623715,70.35656096028201,2.51058239224529
0.8072424499987392,0.8834985909605819,0.8757254977877368,-0.0077730931728451,15.446464069992638,0.5511869850839508
0.818225099988922,0.8695950428426588,0.8627163195888783,-0.0068787232537804,7.552656917391218,0.2695067412714537
0.8292534999927739,0.8725378394187988,0.8485420703152857,-0.023995769103513,158.6295839022942,5.660490433281979
0.8403525499961688,0.8665703708822989,0.8564285220551288,-0.0101418488271701,36.35336168393636,1.2972224409055226
0.8516845999911311,0.8588961467687314,0.8686353557070693,0.0097392089383379,-139.11903809754938,-4.964281976075841
0.8631262999915634,0.8649104745642897,0.8533528201861177,-0.011557654378172,48.84941700395337,1.7431279262044452
0.8746433499982231,0.8661979276519435,0.8624151929111689,-0.0037827347407746,-19.772877794125037,-0.7055694331332086
0.8858690499982913,0.8650460017892437,0.8671541373945593,0.0021081356053155,-71.76634658346603,-2.5608887590446057
